tmax
43
37
48
39
43
37
32
32
28
27
32
36
35
44
42
48
46
46
45
46
50
44
39
34
40
41
42
46
50
53
51
52
51
53
59
55
63
64
52
53
53
60
56
58
55
50
51
53
52
57
57
65
58
71
70
70
64
60
67
66
64
64
68
66
78
70
72
78
74
86
76
77
71
71
72
74
69
66
66
71
64
71
69
72
69
71
81
79
78
73
78
80
81
75
81
79
82
78
82
86
82
86
82
85
79
72
81
84
82
83
84
84
84
89
85
88
86
89
91
89
88
90
87
92
89
89
91
86
91
91
91
88
80
88
90
89
92
92
89
85
84
87
89
88
90
87
89
86
85
91
91
89
90
88
91
91
91
90
88
90
90
86
89
86
87
87
84
87
87
90
91
88
91
89
89
88
89
92
91
89
89
89
88
87
88
90
90
91
91
90
88
87
84
90
86
87
86
88
88
88
87
87
83
84
83
85
86
87
89
86
85
83
86
85
85
86
78
81
72
75
70
72
78
80
78
73
72
75
78
81
84
81
84
81
83
80
76
79
69
74
69
72
69
78
73
73
72
76
69
73
73
71
68
70
72
67
70
65
64
69
64
60
63
60
56
63
62
61
59
61
60
58
60
61
59
58
57
61
60
60
58
63
54
54
52
51
50
57
49
46
46
49
42
36
38
40
47
49
42
41
38
32
38
34
32
38
38
33
34
38
46
42
37
37
32
31
35
37
36
37
36
36
38
37
38
34
34
39
31
30
40
36
34
31
33
36
29
30
35
35
37
31
37
38
40
36
31
34
32
34
31
27
27
30
31
36
37
33
31
31
29
32
27
29
37
34
37
31
30
36
35
37
40
34
38
37
36
35
32
36
43
43
39
39
41
39
38
41
41
44
46
41
36
36
39
38
47
48
43
42
42
39
45
53
52
51
55
48
43
42
48
52
51
54
57
57
65
73
66
75
63
60
56
52
66
63
66
74
69
79
79
75
70
81
79
85
81
75
81
73
71
63
64
71
73
68
70
77
73
69
72
75
71
86
87
89
88
86
84
89
83
88
82
78
81
80
81
82
86
88
87
86
82
85
83
85
84
90
88
90
86
85
84
77
86
77
89
89
88
89
90
90
86
90
87
84
87
86
91
92
91
87
88
89
86
83
82
83
83
84
80
80
90
90
92
92
90
84
83
89
86
83
90
88
89
88
89
90
90
89
88
88
90
88
92
89
90
88
84
87
88
91
88
83
78
87
85
89
88
89
89
90
90
90
87
86
86
81
89
87
86
83
88
88
85
86
86
86
85
86
86
89
91
90
89
87
82
82
83
82
77
81
81
83
82
80
79
80
79
82
81
84
86
85
84
82
83
83
80
78
84
75
78
78
81
80
81
80
79
78
79
78
77
76
73
73
75
69
68
64
64
65
68
66
72
59
66
68
72
67
63
74
62
64
57
61
61
57
53
44
48
50
57
55
56
51
47
47
44
45
45
43
48
47
47
50
49
46
42
42
43
42
39
42
38
32
31
28
37
35
34
28
31
29
34
30
31
30
30
34
35
33
31
31
27
28
34
29
26
25
25
25
25
25
28
31
31
28
26
25
31
33
28
31
30
35
35
30
37
31
32
30
32
30
29
37
30
34
28
27
29
36
43
35
41
47
40
35
40
37
56
51
65
69
49
51
53
44
42
45
47
49
54
52
49
58
61
54
59
58
61
56
75
65
63
78
72
83
79
75
62
55
49
46
42
48
42
43
37
39
39
35
34
35
34
34
34
35
44
45
51
45
39
33
36
38
40
42
37
50
40
45
36
30
32
37
34
40
43
45
43
44
48
48
48
52
59
57
72
63
70
73
73
80
68
80
64
72
70
69
73
77
80
78
79
72
76
69
60
84
76
84
85
89
88
82
86
88
88
82
88
87
88
83
87
88
89
90
88
84
88
88
91
89
83
89
88
88
90
92
88
91
87
86
88
89
88
89
87
87
83
84
82
86
85
86
86
86
83
76
80
81
73
69
74
74
78
62
64
66
61
71
69
69
73
73
70
66
77
58
61
62
64
59
60
59
60
60
60
68
49
55
50
52
54
55
54
48
37
33
38
37
32
39
36
36
39
34
38
34
34
46
39
42
37
50
36
36
43
47
39
42
41
38
36
33
31
35
42
40
39
41
39
34
33
36
37
43
39
35
40
52
46
45
47
40
41
40
35
38
50
40
44
47
51
51
60
57
79
70
56
84
82
79
79
89
76
86
78
88
89
88
89
88
90
82
82
80
61
65
55
40
32
30
36
36
39
